publisher,count
Ubisoft,385
Dovetail Games - Trains,360
Degica,286
Paradox Interactive,271
SEGA,251
Dovetail Games - Flight,220
"KOEI TECMO GAMES CO., LTD.",208
Activision,202
Big Fish Games,195
KISS ltd,189
Dovetail Games,176
THQ Nordic,170
Capcom,155
Strategy First,144
Square Enix,131
Slitherine Ltd.,122
BANDAI NAMCO Entertainment,110
"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",107
Deep Silver,101
Choice of Games,98
Aerosoft GmbH,96
1C Company,90
Warner Bros. Interactive Entertainment,83
Devolver Digital,82
Wizards of the Coast LLC,82
505 Games,82
AGM PLAYISM,81
Sekai Project,81
Focus Home Interactive,81
Plug In Digital,77
Idea Factory International,77
Kalypso Media Digital,73
"XSEED Games, Marvelous USA, Inc.",70
Daedalic Entertainment,69
ArcaneRaise,69
Bethesda Softworks,68
Viva Media,67
SCS Software,67
Back To Basics Gaming,66
Rebellion,66
Dagestan Technology,66
Buka Entertainment,66
Arc System Works,66
Ghostlight LTD,65
United Independent Entertainment GmbH,63
Aldorlea Games,63
Team17 Digital Ltd,59
Milestone S.r.l.,59
Artifex Mundi,57
D3 PUBLISHER,56
N3V Games,55
Stardock Entertainment,53
Iceberg Interactive,53
Electronic Arts,53
"Capcom U.S.A., Inc.",51
Ronimo Games,50
Microids,50
Individual Software,47
Headup Games,47
Sometimes You,45
New Reality Games,45
Fruitbat Factory,44
2K Games,43
2K,43
Libredia,42
OtakuMaker SARL,42
Forever Entertainment S. A.,42
Disney Interactive,42
Atriagames,41
"PQube Limited, SONNORI Corp",41
tinyBuild,40
Dusenberry Martin Racing,40
Tripwire Interactive,39
Telltale Games,39
Bohemia Interactive,37
"Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",37
Trion Worlds,37
Magic Pixel Kft.,37
Valve,36
MumboJumbo,36
Nyu Media,35
Black Shell Media,35
"2K Games, Aspyr (Mac &amp;amp; Linux)",35
Codemasters,34
Nomad Games,34
"Humongous Entertainment, Nightdive Studios",34
HeR Interactive,33
"PopCap Games, Inc.",32
"SQUARE ENIX, Eidos Interactive",32
EnsenaSoft,32
8Floor,31
"NIS America, Inc.",30
Microsoft Studios,30
Trendy Entertainment,30
HexWar Games,30
Good Shepherd Entertainment,30
CI Games,29
Digital Tribe,29
"Retroism, Nightdive Studios",29
Atari,29
MAGIX Software GmbH,29
Curve Digital,28
Boogygames Studios,28
The Game Creators,27
Winter Wolves,27
MangaGamer,27
Ripstone,27
astragon Entertainment GmbH,26
Rising Star Games,26
"Square Enix, Feral Interactive (Mac), Feral Interactive (Linux)",26
Hosted Games,26
Jetdogs Studios,25
Just1337 Publisher,25
Alawar Entertainment,25
Nightdive Studios,25
"CAPCOM Co., Ltd.",25
Daybreak Game Company,24
Adult Swim Games,24
"LucasArts, Lucasfilm, Disney Interactive",23
Kasedo Games,23
Qumaron,23
Rockstar Games,23
OtakuMaker.com,23
InvertMouse,23
Surprise Attack,22
CCP,22
Virtual Racing Industries Ltd.,22
Asmodee Digital,22
"SEGA, Feral Interactive (Mac/Linux)",22
"Playdius, Plug In Digital",22
Positech Games,22
Dogenzaka Lab,22
id Software,22
Quiet River,22
My.com,22
Konami Digital Entertainment,22
Bigben Interactive,21
SOEDESCO Publishing,21
"Psyonix, Inc.",21
PlayWay S.A.,21
Merge Games,21
Topware Interactive,21
"KISS ltd, Funbox Media Ltd",21
"Jackbox Games, Inc.",20
Ripknot Systems,20
AYE Technology,20
Klabater,20
Three Flip Studios,20
Digerati Distribution,20
Gaijin Entertainment,20
3D Realms (Apogee Software),20
WB Games,20
putilin_industries,20
baKno Games,20
"CINEMAX, s.r.o.",19
Flying Interactive,19
b-alive gmbh,19
"ValuSoft, Retroism",19
Warfare Studios,19
Excalibur Games,19
Interplay Entertainment Corp.,19
For Kids,19
Mastertronic,19
Ankama Games,19
Meridian4,19
GameHouse,19
Nexon America Inc.,18
rokaplay,18
"Konami Digital Entertainment, Inc.",18
Phoenix Online Publishing,18
Eagle Dynamics SA,18
SNK CORPORATION,18
Petroglyph,18
Coffee Stain Publishing,18
PlayFirst,18
iWin,18
Zoo Corporation,18
Siberian Digital,18
Versus Evil,18
RunServer,18
Sacada,18
Spicy Horse Games,18
Dexion Games,17
roseVeRte,17
FeelThere,17
Io-Interactive A/S,17
Clickteam,17
Green Man Gaming Publishing,17
"Arcen Games, LLC",17
Nova Dimension,16
"WB Games, Feral Interactive (Mac)",16
VT Publishing,16
Best Way Soft,16
Double Fine Productions,16
FireFly Studios,16
HeroCraft,16
Fatshark,16
"Days of Wonder, Asmodee Digital",16
Xitilon,16
TopWare Interactive,16
Drift Physics Crew,16
Kerberos Productions Inc.,15
Sapphire Dragon Productions,15
Wadjet Eye Games,15
"NovaLogic, THQ Nordic",15
"Hassey Enterprises, Inc.",15
FIVE-BN GAMES,15
Phat Phrog Studios,15
Reverb Triple XP,15
Zen Studios,15
Corrosive Studios LLC,15
"IMCGAMES Co.,Ltd.",14
Rooster Teeth Games,14
Vyacheslav Shilikhin,14
BurstRay Games,14
The Fighter Collection,14
Enjoy Games,14
Interplay Inc.,14
SimBin,14
NeocoreGames,14
Dragom,14
Badland Games,14
"2K Games, Aspyr (Mac, Linux)",14
Microids Indie,14
Retroism,14
PlayStation Mobile Inc.,14
magnussoft,14
ANPA.US,14
Nexon America,14
"Codemasters, Feral Interactive (Mac), Feral Interactive (Linux)",14
Little Orbit,14
Spiderweb Software,14
Stegalosaurus Game Development,14
Tero Lunkka,14
Nival,14
ATLUS USA,13
Panoramik Inc,13
Kongregate,13
Minor Key Games,13
Console Classics,13
GrabTheGames,13
"Koch Media , CyberLink",13
Might and Delight,13
Dharker Studio,13
Interplay,13
704 Games Company,13
Fishing Planet LLC,13
